('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         788900 function calls (765638 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.018    0.001 css_parser.py:306(__init__)
        2    0.000    0.000    0.017    0.008 connection.py:1(<module>)
     3332    0.002    0.000    0.016    0.000 __init__.py:1056(handle_endtag)
     3334    0.004    0.000    0.016    0.000 element.py:1627(__init__)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
    30354    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.014    0.007 parser.py:1(<module>)
        1    0.000    0.000    0.011    0.011 feedparser.py:1(<module>)
        1    0.000    0.000    0.011    0.011 ssl.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _policybase.py:1(<module>)
     3333    0.007    0.000    0.010    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        1    0.000    0.000    0.010    0.010 url.py:1(<module>)
        1    0.000    0.000    0.010    0.010 css_parser.py:326(__init__)
      178    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
3905/3875    0.005    0.000    0.009    0.000 {built-in method __new__ of type object at 0x101aa8ac8}
      129    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
       16    0.000    0.000    0.008    0.001 css_parser.py:1149(process_selectors)
    56/16    0.000    0.000    0.008    0.001 css_parser.py:925(parse_selectors)
      174    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1530(find_spec)
      174    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1501(_get_spec)
      129    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
    87366    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    28412    0.004    0.000    0.006    0.000 _parser.py:163(__getitem__)
      420    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1603(find_spec)
     3333    0.001    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
    44/32    0.000    0.000    0.006    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.006    0.000 css_parser.py:746(parse_pseudo_open)
     3325    0.003    0.000    0.006    0.000 __init__.py:870(object_was_parsed)
69427/63284    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    13203    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     3332    0.003    0.000    0.006    0.000 __init__.py:953(_popToTag)
      779    0.004    0.000    0.006    0.000 _compiler.py:239(_optimize_charset)
 5247/306    0.003    0.000    0.005    0.000 _parser.py:173(getwidth)
        1    0.000    0.000    0.005    0.005 utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
      163    0.000    0.000    0.005    0.000 _compiler.py:507(_compile_info)
     7511    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
6977/6952    0.001    0.000    0.005    0.000 typing.py:365(inner)
      138    0.000    0.000    0.004    0.000 _parser.py:93(closegroup)
52651/52645    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
       23    0.000    0.000    0.004    0.000 enum.py:504(__new__)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
        3    0.000    0.000    0.004    0.001 element.py:1080(_find_all)
        2    0.000    0.000    0.004    0.002 element.py:2740(find_all)
        1    0.000    0.000    0.004    0.004 retry.py:1(<module>)
        1    0.000    0.000    0.004    0.004 element.py:2709(find)
     3325    0.002    0.000    0.004    0.000 element.py:1292(__new__)
        3    0.000    0.000    0.004    0.001 filter.py:164(find_all)
      864    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
       11    0.001    0.000    0.004    0.000 filter.py:130(filter)
     9900    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    14415    0.002    0.000    0.004    0.000 _parser.py:253(get)
       28    0.000    0.000    0.004    0.000 enum.py:247(__set_name__)
    17518    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        4    0.000    0.000    0.004    0.001 ssl.py:399(__new__)
        4    0.004    0.001    0.004    0.001 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
     4361    0.001    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
     9984    0.003    0.000    0.003    0.000 element.py:377(setup)
     3325    0.002    0.000    0.003    0.000 __init__.py:735(string_container)
        1    0.000    0.000    0.003    0.003 ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
     3334    0.002    0.000    0.003    0.000 __init__.py:812(pushTag)
        1    0.000    0.000    0.003    0.003 ssl.py:430(__new__)
     2511    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     9813    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    22354    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 client.py:224(_parse_header_lines)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      129    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
    23079    0.002    0.000    0.002    0.000 _parser.py:232(__next)
        2    0.000    0.000    0.002    0.001 __init__.py:71(search_function)
    17805    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    12552    0.002    0.000    0.002    0.000 _parser.py:248(match)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
     4014    0.001    0.000    0.002    0.000 filter.py:725(match)
      105    0.001    0.000    0.002    0.000 _compiler.py:463(_get_charset_prefix)
     3333    0.002    0.000    0.002    0.000 __init__.py:789(popTag)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
    12398    0.001    0.000    0.002    0.000 _parser.py:159(__len__)
       16    0.001    0.000    0.002    0.000 enum.py:1653(convert_class)
    18312    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    13540    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1308(exec_module)
      785    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3220    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
       22    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
       10    0.000    0.000    0.002    0.000 enum.py:891(_convert_)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
    86/61    0.000    0.000    0.002    0.000 typing.py:481(__getitem__)
     2150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      785    0.002    0.000    0.002    0.000 {built-in method posix.stat}
    14254    0.002    0.000    0.002    0.000 {built-in method builtins.min}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
     7127    0.001    0.000    0.002    0.000 _parser.py:171(append)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        4    0.000    0.000    0.002    0.000 feedparser.py:173(feed)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
       61    0.000    0.000    0.002    0.000 typing.py:660(Union)
      129    0.000    0.000    0.002    0.000 typing.py:1203(__init__)
       93    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
      506    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_path_importer_cache)
     1914    0.001    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        9    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
       14    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
