('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818811 function calls (794398 primitive calls) in 1.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 _request_methods.py:1(<module>)
        1    0.000    0.000    0.024    0.024 client.py:1(<module>)
 5544/195    0.009    0.000    0.023    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.023    0.023 _base_connection.py:1(<module>)
        1    0.021    0.021    0.021    0.021 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3333    0.004    0.000    0.020    0.000 _htmlparser.py:204(handle_endtag)
        3    0.000    0.000    0.020    0.007 response.py:1(<module>)
        1    0.000    0.000    0.019    0.019 css_parser.py:428(CSSParser)
        2    0.000    0.000    0.018    0.009 connection.py:1(<module>)
       16    0.000    0.000    0.018    0.001 css_parser.py:306(__init__)
     6920    0.004    0.000    0.018    0.000 __init__.py:829(endData)
     3332    0.002    0.000    0.017    0.000 __init__.py:1056(handle_endtag)
     3334    0.004    0.000    0.016    0.000 element.py:1627(__init__)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
    30373    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
      228    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
        2    0.000    0.000    0.013    0.006 parser.py:1(<module>)
      224    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1530(find_spec)
      224    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1501(_get_spec)
        1    0.000    0.000    0.012    0.012 ssl.py:1(<module>)
     3333    0.007    0.000    0.010    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      170    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:764(_compile_bytecode)
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
      511    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1603(find_spec)
        1    0.000    0.000    0.010    0.010 css_parser.py:326(__init__)
4005/3975    0.006    0.000    0.010    0.000 {built-in method __new__ of type object at 0x102534ac8}
        1    0.000    0.000    0.009    0.009 url.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _policybase.py:1(<module>)
      170    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.009    0.009 compat.py:1(<module>)
       16    0.000    0.000    0.009    0.001 css_parser.py:1149(process_selectors)
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
       40    0.000    0.000    0.008    0.000 response.py:494(_decode)
       41    0.003    0.000    0.008    0.000 response.py:105(decompress)
        2    0.000    0.000    0.008    0.004 api.py:1(<module>)
        1    0.000    0.000    0.008    0.008 client.py:224(_parse_header_lines)
    90686    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.007    0.007 parser.py:56(parsestr)
        2    0.000    0.000    0.007    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 parser.py:41(parse)
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
    29708    0.005    0.000    0.007    0.000 _parser.py:163(__getitem__)
    44/32    0.000    0.000    0.006    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.006    0.000 css_parser.py:746(parse_pseudo_open)
71703/65383    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     3325    0.003    0.000    0.006    0.000 __init__.py:870(object_was_parsed)
        1    0.006    0.006    0.006    0.006 feedparser.py:139(__init__)
     3333    0.001    0.000    0.006    0.000 parser.py:345(check_for_whole_start_tag)
      906    0.004    0.000    0.006    0.000 _compiler.py:239(_optimize_charset)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
    13203    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
 5496/381    0.003    0.000    0.006    0.000 _parser.py:173(getwidth)
     3332    0.003    0.000    0.006    0.000 __init__.py:953(_popToTag)
       40    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
      195    0.001    0.000    0.005    0.000 _compiler.py:507(_compile_info)
6987/6962    0.001    0.000    0.005    0.000 typing.py:365(inner)
     7515    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
      181    0.000    0.000    0.005    0.000 _parser.py:93(closegroup)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
    16743    0.003    0.000    0.004    0.000 _parser.py:253(get)
        1    0.000    0.000    0.004    0.004 retry.py:1(<module>)
54744/54738    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
       23    0.000    0.000    0.004    0.000 enum.py:504(__new__)
        1    0.000    0.000    0.004    0.004 sessions.py:1(<module>)
        3    0.000    0.000    0.004    0.001 element.py:1080(_find_all)
        1    0.000    0.000    0.004    0.004 _typing.py:1(<module>)
        2    0.000    0.000    0.004    0.002 element.py:2740(find_all)
        1    0.000    0.000    0.004    0.004 element.py:2709(find)
      892    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.000    0.000    0.004    0.001 filter.py:164(find_all)
     9927    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
       11    0.001    0.000    0.004    0.000 filter.py:130(filter)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
     3325    0.002    0.000    0.004    0.000 element.py:1292(__new__)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
       28    0.000    0.000    0.004    0.000 enum.py:247(__set_name__)
        1    0.000    0.000    0.004    0.004 ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.004    0.004 adapters.py:1(<module>)
    17525    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:430(__new__)
     4364    0.001    0.000    0.004    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        4    0.000    0.000    0.004    0.001 ssl.py:399(__new__)
        4    0.004    0.001    0.004    0.001 {built-in method _ssl.txt2obj}
     9984    0.003    0.000    0.003    0.000 element.py:377(setup)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
      170    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.003    0.002 request.py:1(<module>)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
     3325    0.002    0.000    0.003    0.000 __init__.py:735(string_container)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1654(_fill_cache)
     3334    0.002    0.000    0.003    0.000 __init__.py:812(pushTag)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
       20    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     9813    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     2512    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
    22933    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
    25594    0.003    0.000    0.003    0.000 _parser.py:232(__next)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
      989    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      230    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.003    0.001 abc.py:1(<module>)
      995    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
    13283    0.002    0.000    0.002    0.000 _parser.py:248(match)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
    18247    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2632    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    12804    0.002    0.000    0.002    0.000 _parser.py:159(__len__)
     4014    0.001    0.000    0.002    0.000 filter.py:725(match)
      125    0.001    0.000    0.002    0.000 _compiler.py:463(_get_charset_prefix)
     3333    0.002    0.000    0.002    0.000 __init__.py:789(popTag)
    14317    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      271    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.002    0.002 models.py:1(<module>)
    18316    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
2611/2605    0.000    0.000    0.002    0.000 {built-in method builtins.getattr}
       16    0.001    0.000    0.002    0.000 enum.py:1653(convert_class)
     3220    0.001    0.000    0.002    0.000 _htmlparser.py:222(handle_data)
    87/62    0.000    0.000    0.002    0.000 typing.py:481(__getitem__)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1308(exec_module)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:891(_convert_)
     7496    0.001    0.000    0.002    0.000 _parser.py:171(append)
       23    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
    14732    0.002    0.000    0.002    0.000 {built-in method builtins.min}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      133    0.000    0.000    0.002    0.000 typing.py:1203(__init__)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
       62    0.000    0.000    0.002    0.000 typing.py:660(Union)
      608    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1479(_path_importer_cache)
        9    0.000    0.000    0.002    0.000 types.py:334(__getattr__)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:946(getaddrinfo)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base64mime.py:1(<module>)
      340    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:495(cache_from_source)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
     1914    0.001    0.000    0.001    0.000 __init__.py:909(_linkage_fixer)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
        9    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      306    0.000    0.000    0.001    0.000 typing.py:169(_type_check)
       14    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
       17    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.001    0.001 pretty.py:1(<module>)
     2626    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.001    0.001 core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        6    0.000    0.000    0.001    0.000 typing.py:2704(__new__)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
6582/6514    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.001    0.000 typing.py:2685(_make_nmtuple)
       97    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        1    0.001    0.001    0.001    0.001 models.py:909(text)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
